| time |reset|ARegister|DRegister|PC[]|RAM64[16]|RAM64[17]|RAM64[18]|RAM64[19]|
| 0    |  0  |       0 |       0 |   0|       0 |       0 |       0 |       0 |
| 1    |  0  |      16 |       0 |   1|       3 |       4 |       5 |       0 |
| 2    |  0  |      16 |       3 |   2|       3 |       4 |       5 |       0 |
| 3    |  0  |      17 |       3 |   3|       3 |       4 |       5 |       0 |
| 4    |  0  |      17 |       7 |   4|       3 |       4 |       5 |       0 |
| 5    |  0  |      18 |       7 |   5|       3 |       4 |       5 |       0 |
| 6    |  0  |      18 |       2 |   6|       3 |       4 |       5 |       0 |
| 7    |  0  |      19 |       2 |   7|       3 |       4 |       5 |       0 |
| 8    |  0  |      19 |       2 |   8|       3 |       4 |       5 |       2 |
| 9    |  1  |       0 |       2 |   0|       0 |       0 |       0 |       0 |
| 10   |  0  |      16 |       2 |   1|       9 |       3 |      13 |       0 |
| 11   |  0  |      16 |       9 |   2|       9 |       3 |      13 |       0 |
| 12   |  0  |      17 |       9 |   3|       9 |       3 |      13 |       0 |
| 13   |  0  |      17 |      12 |   4|       9 |       3 |      13 |       0 |
| 14   |  0  |      18 |      12 |   5|       9 |       3 |      13 |       0 |
| 15   |  0  |      18 |      -1 |   6|       9 |       3 |      13 |       0 |
| 16   |  0  |      19 |      -1 |   7|       9 |       3 |      13 |       0 |
| 17   |  0  |      19 |      -1 |   8|       9 |       3 |      13 |      -1 |
