| time |reset|ARegister|DRegister|PC[]|RAM64[16]|RAM64[17]|RAM64[18]|
| 0    |  0  |       0 |       0 |   0|       0 |       0 |       0 |
| 1    |  0  |      16 |       0 |   1|       3 |       4 |       0 |
| 2    |  0  |      16 |       3 |   2|       3 |       4 |       0 |
| 3    |  0  |      17 |       3 |   3|       3 |       4 |       0 |
| 4    |  0  |      17 |      -1 |   4|       3 |       4 |       0 |
| 5    |  0  |      12 |      -1 |   5|       3 |       4 |       0 |
| 6    |  0  |      12 |      -1 |   6|       3 |       4 |       0 |
| 7    |  0  |      17 |      -1 |   7|       3 |       4 |       0 |
| 8    |  0  |      17 |       4 |   8|       3 |       4 |       0 |
| 9    |  0  |      16 |       4 |   9|       3 |       4 |       0 |
| 10   |  0  |      16 |       1 |  10|       3 |       4 |       0 |
| 11   |  0  |      18 |       1 |  11|       3 |       4 |       0 |
| 12   |  0  |      18 |       1 |  12|       3 |       4 |       1 |
| 13   |  1  |      18 |       1 |   0|       0 |       0 |       0 |
| 14   |  0  |      16 |       1 |   1|       7 |       5 |       0 |
| 15   |  0  |      16 |       7 |   2|       7 |       5 |       0 |
| 16   |  0  |      17 |       7 |   3|       7 |       5 |       0 |
| 17   |  0  |      17 |       2 |   4|       7 |       5 |       0 |
| 18   |  0  |      12 |       2 |   5|       7 |       5 |       0 |
| 19   |  0  |      12 |       2 |  12|       7 |       5 |       0 |
| 20   |  0  |      18 |       2 |  13|       7 |       5 |       0 |
| 21   |  0  |      18 |       2 |  14|       7 |       5 |       2 |
| 22   |  0  |       0 |       2 |  15|       7 |       5 |       2 |
| 23   |  0  |       0 |       2 |  16|       7 |       5 |       2 |
| 24   |  0  |       0 |       2 |  17|       7 |       5 |       2 |
| 25   |  0  |       0 |       2 |  18|       7 |       5 |       2 |
